CITY,Country,full.location.name,latitude.y,longitude.y,TMN,ETMN
Adelmannsfelden,Germany,"Adelmannsfelden, Germany",48.9543031,10.0033822,1,
Aden,Yemen,"Aden, Yemen",12.7854969,45.0186548,2,
Adendorf,Germany,"Adendorf, Germany",53.2858056,10.4483101,1,1
AdEPorto,Portugal,"AdEPorto, Portugal",41.1534831,-8.6112778,1,1
Adidome-North Tongu,Ghana,"Adidome-North Tongu, Ghana",6.0729743,0.5116066,1,
Adigrat,Ethiopia,"Adigrat, Ethiopia",14.278304,39.4605612,1,
Adimi,"Iran, Islamic Republic of","Adimi, Iran, Islamic Republic of",31.1158746,61.4114482,1,
Adjara,Georgia,"Adjara, Georgia",41.6005626,42.0688383,1,
Adrar,Algeria,"Adrar, Algeria",27.9716342,-0.1869644,1,
Adria,Italy,"Adria, Italy",45.0555487,12.0560381,1,
Aesch,Switzerland,"Aesch, Switzerland",47.4672734,7.5979344,1,
Affligem,Belgium,"Affligem, Belgium",50.9084,4.11281,1,
Afgoye,Somalia,"Afgoye, Somalia",2.1426226,45.1167167,1,
Afiesl,Austria,"Afiesl, Austria",48.58184,14.12724,1,1
Afif,Saudi Arabia,"Afif, Saudi Arabia",23.9052203,42.9124955,1,
Aflenz,Austria,"Aflenz, Austria",47.5436309,15.2380898,1,1
Aflenz-Kurort,Austria,"Aflenz-Kurort, Austria",47.5436309,15.2380898,1,
Afzar,"Iran, Islamic Republic of","Afzar, Iran, Islamic Republic of",35.7857756,51.4222695,1,
Agadez,Niger,"Agadez, Niger",16.9741689,7.986535,2,
Agadir,Morocco,"Agadir, Morocco",30.4277547,-9.5981072,3,1
Agawam,United States,"Agawam, Massachusetts, United States",42.0695391,-72.6148117,1,
Agbado,Nigeria,"Agbado, Nigeria",6.1719001,7.8367954,1,1
Agdam,Azerbaijan,"Agdam, Azerbaijan",39.9931853,46.9949562,1,
Ager,United States,"Ager, California, United States",41.8662529,-122.4605772,1,
Aghajari,"Iran, Islamic Republic of","Aghajari, Iran, Islamic Republic of",30.6907753,49.8240194,1,
Aghda,"Iran, Islamic Republic of","Aghda, Iran, Islamic Republic of",32.3838345,53.5723002,1,
Aghghala,"Iran, Islamic Republic of","Aghghala, Iran, Islamic Republic of",37.0141367,54.4506304,1,
Agia Napa,Cyprus,"Agia Napa, Cyprus",34.9922836,34.0140113,1,
Agias,Greece,"Agias, Greece",39.6416158,22.4298213,1,
Agioi Anargyroi-Kamatero,Greece,"Agioi Anargyroi-Kamatero, Greece",38.0551278,23.697829,2,2
Agios Athanasios,Greece,"Agios Athanasios, Greece",40.8407907,21.7697318,1,1
Agjalar,Iraq,"Agjalar, Iraq",35.6770591,44.9101759,1,
Aglantzia,Cyprus,"Aglantzia, Cyprus",35.139489,33.4047109,2,
Agramunt,Spain,"Agramunt, Spain",41.7871869,1.0979794,1,
Agrate Brianza,Italy,"Agrate Brianza, Italy",45.5729757,9.3535417,1,1
Agres,Spain,"Agres, Spain",38.7808327,-0.5157406,1,1
Agrón,Spain,"Agrón, Spain",37.0300898,-3.8292747,1,1
Agropoli,Italy,"Agropoli, Italy",40.3486827,14.9912195,1,1
Aguadulce,Spain,"Aguadulce, Spain",37.2530072,-4.9928972,1,1
Aguas Buenas,Puerto Rico,"Aguas Buenas, Puerto Rico",18.2568989,-66.1029442,1,
Aguascalientes,Mexico,"Aguascalientes, Mexico",21.8852562,-102.2915677,3,2
Agueda,Portugal,"Agueda, Portugal",40.5771128,-8.44627,5,5
Aguilar de Segarra,Spain,"Aguilar de Segarra, Spain",41.7392097,1.627507,1,
Ahar,"Iran, Islamic Republic of","Ahar, Iran, Islamic Republic of",38.4894305,47.0683575,1,
Ahaus,Germany,"Ahaus, Germany",52.0825322,7.0150057,1,1
Ahel,France,"Ahel, France",43.6709139,-1.1119366,1,
Ahfir,Morocco,"Ahfir, Morocco",34.9518203,-2.1033017,1,
Ahmadabad,India,"Ahmadabad, India",23.022505,72.5713621,1,
Ahmadabad-e Sowlat,"Iran, Islamic Republic of","Ahmadabad-e Sowlat, Iran, Islamic Republic of",35.1149334,60.6880338,1,
Ahmedabad,India,"Ahmedabad, India",23.022505,72.5713621,4,2
Ahorn,Germany,"Ahorn, Germany",50.2372775,10.9540775,1,1
Ahrntal,Italy,"Ahrntal, Italy",47.0020051,11.933166,1,1
Ahuacatlan,Mexico,"Ahuacatlan, Mexico",21.0533791,-104.4810648,1,
Ahualulco de Mercado,Mexico,"Ahualulco de Mercado, Mexico",20.6998901,-103.9753155,1,1
Ahvaz,"Iran, Islamic Republic of","Ahvaz, Iran, Islamic Republic of",31.3183272,48.6706187,1,1
Ahwaz,"Iran, Islamic Republic of","Ahwaz, Iran, Islamic Republic of",31.3183272,48.6706187,1,
Aichi,Japan,"Aichi, Japan",35.1801883,136.9065647,1,1
Aichkirchen,Austria,"Aichkirchen, Austria",48.109667,13.7922189,1,1
Aichwald,Germany,"Aichwald, Germany",48.7617612,9.3889875,1,
Aielli,Italy,"Aielli, Italy",42.0812978,13.5883558,1,1
Aiguafreda,Spain,"Aiguafreda, Spain",41.7831042,2.2679632,1,
Aïn Madhi,Algeria,"Aïn Madhi, Algeria",33.7946585,2.2999821,1,
Airuno,Italy,"Airuno, Italy",45.7537371,9.4252068,2,1
Aiseau-Presles,Belgium,"Aiseau-Presles, Belgium",50.4100045,4.586698,1,
Aït Melloul,Morocco,"Aït Melloul, Morocco",30.3306163,-9.5117328,1,
Aiud,Romania,"Aiud, Romania",46.3086633,23.724558,1,1
Aix Marseille Provence,France,"Aix Marseille Provence, France",43.296482,5.36978,1,1
Aiz Al Deen Salem,Egypt,"Aiz Al Deen Salem, Egypt",31.0419854,31.3907826,1,
Aizaria,Philippines,"Aizaria, Philippines",14.522776,121.000111,1,
Ajeromi-Ifelodun,Nigeria,"Ajeromi-Ifelodun, Nigeria",6.4554777,3.3338547,1,1
Ajloun,Jordan,"Ajloun, Jordan",32.3325599,35.751742,1,
Ajman,United Arab Emirates,"Ajman, United Arab Emirates",25.4052165,55.5136433,1,
Akatsi,Ghana,"Akatsi, Ghana",6.128252,0.7984595,1,
Akjoujt,Mauritania,"Akjoujt, Mauritania",19.7461122,-14.3879205,2,
Akkareipattu,Sri Lanka,"Akkareipattu, Sri Lanka",7.2193917,81.8497567,1,1
Akmene district municipality,Lithuania,"Akmene district municipality, Lithuania",56.2123268,22.7694986,1,1
Akron,United States,"Akron, Ohio, United States",41.0814447,-81.5190053,1,
Aktau,Kazakstan,"Aktau, Kazakstan",43.6410973,51.1985113,1,
Akureyri,Iceland,"Akureyri, Iceland",65.6884921,-18.1261693,1,
Al Behar,Jordan,"Al Behar, Jordan",31.970213,35.854243,1,
Al Dair,Bahrain,"Al Dair, Bahrain",26.286528,50.6236227,1,
Al Fao,Sudan,"Al Fao, Sudan",14.118272,34.0919803,1,
Al Fayhaa,Saudi Arabia,"Al Fayhaa, Saudi Arabia",21.493415,39.2219622,1,1
Al Hoceima,Morocco,"Al Hoceima, Morocco",35.2445589,-3.9317468,2,
Al Kawther,United Arab Emirates,"Al Kawther, United Arab Emirates",25.2693087,55.3006751,1,
Al Mudynah,Saudi Arabia,"Al Mudynah, Saudi Arabia",24.5246542,39.5691841,1,
Al Najaf Al Ashrf,Iraq,"Al Najaf Al Ashrf, Iraq",32.027376,44.3331165,1,
Al Nashwa,Iraq,"Al Nashwa, Iraq",30.8221418,47.5914122,1,
Al Qaseem,Saudi Arabia,"Al Qaseem, Saudi Arabia",25.8274886,42.8637875,1,
Al Qurna,Iraq,"Al Qurna, Iraq",31.0174498,47.4245319,1,
Al Seeba,Iraq,"Al Seeba, Iraq",30.3192595,48.254283,1,
Al Thagar,United States,"Al Thagar, Georgia, United States",30.6709254,-83.5818406,1,
Al Wakra,Qatar,"Al Wakra, Qatar",25.1659314,51.5975524,1,
Al Zubeir,Iraq,"Al Zubeir, Iraq",30.3769236,47.7144578,1,
Al-Ahsa,Saudi Arabia,"Al-Ahsa, Saudi Arabia",22.2954496,50.6793759,1,
Alajuelita,Costa Rica,"Alajuelita, Costa Rica",9.8992594,-84.1008843,1,
Alamarvdasht,"Iran, Islamic Republic of","Alamarvdasht, Iran, Islamic Republic of",27.6222304,53.0002317,1,
AlaMeda,United States,"AlaMeda, California, United States",37.7652065,-122.2416355,1,1
Alanis de la Sierra,Spain,"Alanis de la Sierra, Spain",38.037553,-5.7135299,1,1
Alarsky,Russia Federation,"Alarsky, Russia Federation",53.3585967,102.7511949,1,
Alasht,"Iran, Islamic Republic of","Alasht, Iran, Islamic Republic of",36.0664798,52.8339451,1,
Alavijeh,"Iran, Islamic Republic of","Alavijeh, Iran, Islamic Republic of",33.0548126,51.0697274,1,
Alba,Italy,"Alba, Italy",44.6994475,8.0247005,3,
Alba Iulia,Romania,"Alba Iulia, Romania",46.0823371,23.5690265,3,2
Albacete,Spain,"Albacete, Spain",38.9944091,-1.8585446,2,
Albano Sant'Alessandro,Italy,"Albano Sant'Alessandro, Italy",45.6893806,9.7662792,1,1
Albany,United States,"Albany, New York, United States",42.6525793,-73.7562317,1,
Albatera,Spain,"Albatera, Spain",38.1801605,-0.8710884,1,1
Albertslund,Denmark,"Albertslund, Denmark",55.6772626,12.3430265,2,2
Albi,France,"Albi, France",43.9250853,2.1486413,1,
Albiate,Italy,"Albiate, Italy",45.6554057,9.2486562,1,1
Albinyana,Spain,"Albinyana, Spain",41.2449807,1.486239,1,
Albisola Superiore,Italy,"Albisola Superiore, Italy",44.3362409,8.5099097,1,
Albosaggia,Italy,"Albosaggia, Italy",46.1473587,9.8537366,1,1
Albrechtsberg,Austria,"Albrechtsberg, Austria",48.4620038,15.3670608,1,1
Albuberque,United States,"Albuberque, New Mexico, United States",35.0853336,-106.6055534,1,1
Alcalá de Guadaíra,Spain,"Alcalá de Guadaíra, Spain",37.3396769,-5.8418054,1,1
Alcalá de Henares,Spain,"Alcalá de Henares, Spain",40.4819791,-3.3635421,1,
Alcalá del Río,Spain,"Alcalá del Río, Spain",37.5187353,-5.9812748,1,1
Alcalalí,Spain,"Alcalalí, Spain",38.7497921,-0.0393963,1,1
Alcaldia de Pasto,Colombia,"Alcaldia de Pasto, Colombia",1.210609,-77.299452,1,1
Alcamo,Italy,"Alcamo, Italy",37.9540706,12.9665821,1,
Alcampel,Spain,"Alcampel, Spain",41.9058078,0.433141,1,
Alcolea del Río,Spain,"Alcolea del Río, Spain",37.6158112,-5.6681456,1,1
Alcorcón,Spain,"Alcorcón, Spain",40.3468454,-3.8278443,1,1
Aldain,Spain,"Aldain, Spain",43.0958952,-2.0783556,1,
Aldeire,Spain,"Aldeire, Spain",37.1605311,-3.0720206,1,1
Aldenhoven,Germany,"Aldenhoven, Germany",50.8948824,6.2871221,1,
Aldeno,Italy,"Aldeno, Italy",45.9806715,11.0913788,1,1
Aldwianh,United Kingdom,"Aldwianh, United Kingdom",51.5131979,-0.1174504,1,
Alella,Spain,"Alella, Spain",41.4919653,2.2940817,2,1
Alento Montestella,Italy,"Alento Montestella, Italy",40.237403,15.066278,1,1
Aleppo,Syrian Arab Republic,"Aleppo, Syrian Arab Republic",36.2021047,37.1342603,2,
Alerdale,United Kingdom,"Alerdale, United Kingdom",54.6990638,-3.1994197,1,
Aleshtar,"Iran, Islamic Republic of","Aleshtar, Iran, Islamic Republic of",33.8639888,48.2642387,1,
Ålesund,Norway,"Ålesund, Norway",62.4722284,6.149482,1,
Alexandria,United States,"Alexandria, Virginia, United States",38.8048355,-77.0469214,5,1
Alexandroupolis,Greece,"Alexandroupolis, Greece",40.8457193,25.873962,3,2
Alfafara,Spain,"Alfafara, Spain",38.7741137,-0.5547402,1,1
Alfaro Ruiz,Costa Rica,"Alfaro Ruiz, Costa Rica",10.2347095,-84.4172666,1,
Alfedena,Italy,"Alfedena, Italy",41.7345278,14.0331557,1,1
